review_id,brand,brand_alias,stars,text,sentiment,source_file,annotated_ambiance,annotated_packaging,annotated_price,annotated_service,annotated_taste,model_text,is_duplicate_text_within_brand
starbucks_0001,Starbucks,Global Brand,5,Baik,positive,starbucks_detailed_reviews.csv,0,0,0,0,0,baik,True
starbucks_0002,Starbucks,Global Brand,5,Tempatnya di area downwalk.. melewati para perokok.. untuk tempatnya lumayan nyaman.. area indoor nya banyak.. AC nya cukup dingin.. Baristanya baik2 sama ramah as always..,positive,starbucks_detailed_reviews.csv,1,0,0,0,0,tempat di area downwalk lewat para okok untuk tempat lumayan nyaman area indoor nya banyak ac nya cukup dingin baristanya baik sama ramah as always,False
starbucks_0003,Starbucks,Global Brand,5,Best sekali,positive,starbucks_detailed_reviews.csv,0,0,0,0,0,best sekali,False
starbucks_0004,Starbucks,Global Brand,5,Goodd hospitalityy by Ms Kucakica,positive,starbucks_detailed_reviews.csv,0,0,0,0,0,goodd hospitalityy by ms kucakica,False
starbucks_0005,Starbucks,Global Brand,5,Just visit for coffee and talking much with my friends,positive,starbucks_detailed_reviews.csv,0,0,0,0,0,just visit for coffee and talking much with my friends,False
starbucks_0006,Starbucks,Global Brand,5,Chill vibe dan tenang sekali,positive,starbucks_detailed_reviews.csv,1,0,0,0,0,chill vibe dan tenang sekali,False
starbucks_0007,Starbucks,Global Brand,5,Good vibes.. Nice _ as usual.. Friendly barista ____,positive,starbucks_detailed_reviews.csv,0,0,0,0,0,good vibes nice as usual friendly barista,False
starbucks_0008,Starbucks,Global Brand,5,Tempatnya nyaman,positive,starbucks_detailed_reviews.csv,1,0,0,0,0,tempat nyaman,True
starbucks_0009,Starbucks,Global Brand,4,It's a Starbucks as it is but this place isn't an excellent place for WiFi because it's really slow.,positive,starbucks_detailed_reviews.csv,0,0,0,0,0,it s a starbucks as it is but this place isn t an excellent place for wifi because it s really slow,False
starbucks_0010,Starbucks,Global Brand,5,Minum teh,positive,starbucks_detailed_reviews.csv,0,0,0,0,0,minum teh,False
starbucks_0011,Starbucks,Global Brand,5,Love it here too,positive,starbucks_detailed_reviews.csv,0,0,0,0,0,love it here too,False
starbucks_0012,Starbucks,Global Brand,4,Cozy place to stop by for a coffee and cake. The cheesecake is yummy!,positive,starbucks_detailed_reviews.csv,1,0,0,0,0,cozy place to stop by for a coffee and cake the cheesecake is yummy,False
starbucks_0013,Starbucks,Global Brand,4,Baik semua,positive,starbucks_detailed_reviews.csv,0,0,0,0,0,baik semua,False
starbucks_0014,Starbucks,Global Brand,5,Nice atmosphere for enjoying a cup of coffee,positive,starbucks_detailed_reviews.csv,1,1,0,0,0,nice atmosphere for enjoying a cup of coffee,False
starbucks_0015,Starbucks,Global Brand,5,Well,positive,starbucks_detailed_reviews.csv,0,0,0,0,0,well,False
starbucks_0016,Starbucks,Global Brand,5,Best place for hangout,positive,starbucks_detailed_reviews.csv,0,0,0,0,0,best place for hangout,False
starbucks_0017,Starbucks,Global Brand,5,Menyenangkan buat ngobrolin skripsian dan karir __. Tempatnya cozy untuk minumanya ya standar lah seperti starbuck pada umumnya saja.,positive,starbucks_detailed_reviews.csv,1,0,0,0,0,senang buat ngobrolin skripsi dan karir tempat cozy untuk minumanya ya standar lah seperti starbuck pada umum saja,False
starbucks_0018,Starbucks,Global Brand,5,Pegawainya sangat ramah. Tempat luas. Ada smoking dan nonsmoking area. Lokasi di samping Lobi Pintu Plaza.,positive,starbucks_detailed_reviews.csv,1,0,0,0,0,pegawai sangat ramah tempat luas ada smoking dan nonsmoking area lokasi di samping lobi pintu plaza,False
starbucks_0019,Starbucks,Global Brand,5,Tempatnya nyaman bgtt buat nugaas,positive,starbucks_detailed_reviews.csv,1,0,0,0,0,tempat nyaman bgtt buat nugaas,False
starbucks_0020,Starbucks,Global Brand,5,Istirahat sejenak sambil menikmati segelas kopi...,positive,starbucks_detailed_reviews.csv,0,1,0,0,0,istirahat jenak sambil nikmat gelas kopi,False
starbucks_0021,Starbucks,Global Brand,5,Baik,positive,starbucks_detailed_reviews.csv,0,0,0,0,0,baik,True
